"KIND","SKYNO","TOSKY","SKYSTAR","TOFLO","FLOSTAR","unique_id"
"月","丁",NULL,NULL,"午","干祿",283
"月","丁",NULL,NULL,"未","紅艷,羊刃",284
"月","丁",NULL,NULL,"申","桃花",285
"月","丁",NULL,NULL,"酉","乙貴,文昌",286
"月","丁",NULL,NULL,"亥","乙貴",288
"月","戊",NULL,NULL,"子","飛刃",289
"月","戊",NULL,NULL,"丑","乙貴",290
"月","戊",NULL,NULL,"寅","",291
"月","戊",NULL,NULL,"卯","桃花",292
"月","戊",NULL,NULL,"辰","紅艷,血刃",293
"月","戊",NULL,NULL,"巳","干祿",294
"月","戊",NULL,NULL,"午","羊刃,學士",295
"月","戊",NULL,NULL,"未","乙貴",296
"月","戊",NULL,NULL,"申","文昌",297
"月","戊",NULL,NULL,"酉","",298
"月","戊",NULL,NULL,"亥","",300
"月","己",NULL,NULL,"子","乙貴",301
"月","己",NULL,NULL,"丑","飛刃",302
"月","己",NULL,NULL,"寅","",303
"月","己",NULL,NULL,"卯","",304
"月","己",NULL,NULL,"辰","紅艷",305
"月","己",NULL,NULL,"巳","學士,血刃",306
"月","己",NULL,NULL,"午","干祿",307
"月","己",NULL,NULL,"未","羊刃",308
"月","己",NULL,NULL,"申","乙貴",309
"月","己",NULL,NULL,"酉","文昌",310
"月","己",NULL,NULL,"亥","",312
"月","庚",NULL,NULL,"子","",313
"月","庚",NULL,NULL,"丑","乙貴",314
"月","庚",NULL,NULL,"寅","",315
"月","庚",NULL,NULL,"卯","飛刃",316
"月","庚",NULL,NULL,"辰","",317
"月","庚",NULL,NULL,"巳","桃花",318
"月","庚",NULL,NULL,"午","學士",319
"月","庚",NULL,NULL,"未","乙貴,血刃",320
"月","庚",NULL,NULL,"申","干祿",321
"月","庚",NULL,NULL,"酉","羊刃",322
"月","庚",NULL,NULL,"亥","文昌,桃花",324
"月","辛",NULL,NULL,"子","文昌",325
"月","辛",NULL,NULL,"丑","",326
"月","辛",NULL,NULL,"寅","乙貴",327
"月","辛",NULL,NULL,"卯","",328
"月","辛",NULL,NULL,"辰","飛刃",329
"月","辛",NULL,NULL,"巳","學士",330
"月","辛",NULL,NULL,"午","乙貴",331
"月","辛",NULL,NULL,"未","",332
"月","辛",NULL,NULL,"申","血刃",333
"月","辛",NULL,NULL,"酉","干祿,紅艷",334
"月","辛",NULL,NULL,"亥","",336
"月","壬",NULL,NULL,"子","紅艷,羊刃",337
"月","壬",NULL,NULL,"丑","",338
"月","壬",NULL,NULL,"寅","文昌",339
"月","壬",NULL,NULL,"卯","乙貴",340
"月","壬",NULL,NULL,"辰","",341
"月","壬",NULL,NULL,"巳","乙貴",342
"月","壬",NULL,NULL,"午","飛刃,桃花",343
"月","壬",NULL,NULL,"未","",344
"月","壬",NULL,NULL,"申","學士",345
"月","壬",NULL,NULL,"酉","",346
"月","壬",NULL,NULL,"亥","干祿",348
"月","癸",NULL,NULL,"子","干祿",349
"月","癸",NULL,NULL,"丑","羊刃",350
"月","癸",NULL,NULL,"寅","",351
"月","癸",NULL,NULL,"卯","文昌,乙貴",352
"月","癸",NULL,NULL,"辰","",353
"月","癸",NULL,NULL,"巳","乙貴",354
"月","癸",NULL,NULL,"午","",355
"月","癸",NULL,NULL,"未","飛刃",356
"月","癸",NULL,NULL,"申","紅艷,學士",357
"月","癸",NULL,NULL,"酉","",358
"月","癸",NULL,NULL,"亥","血刃",360
"年","甲",NULL,NULL,"子","學士",361
"年","甲",NULL,NULL,"丑","乙貴,血刃",362
"年","甲",NULL,NULL,"寅","干祿",363
"年","甲",NULL,NULL,"卯","羊刃,桃花",364
"年","甲",NULL,NULL,"辰","",365
"年","甲",NULL,NULL,"巳","文昌",366
"年","甲",NULL,NULL,"午","紅艷",367
"年","甲",NULL,NULL,"未","乙貴",368
"年","甲",NULL,NULL,"申","路空",369
"年","甲",NULL,NULL,"酉","飛刃",370
"年","甲",NULL,NULL,"亥","桃花",372
"年","乙",NULL,NULL,"子","乙貴",373
"年","乙",NULL,NULL,"丑","",374
"年","乙",NULL,NULL,"寅","血刃",375
"年","乙",NULL,NULL,"卯","干祿,桃花",376
"年","乙",NULL,NULL,"辰","羊刃",377
"年","乙",NULL,NULL,"巳","",378
"年","乙",NULL,NULL,"午","紅艷",379
"年","乙",NULL,NULL,"未","",380
"年","乙",NULL,NULL,"申","乙貴",381
"年","乙",NULL,NULL,"酉","",382
"年","乙",NULL,NULL,"亥","學士,桃花",384
"年","丙",NULL,NULL,"子","飛刃,桃花",385
"年","丙",NULL,NULL,"丑","",386
"年","丙",NULL,NULL,"寅","紅艷",387
"年","丙",NULL,NULL,"卯","學士",388
"年","丙",NULL,NULL,"辰","血刃",389
"年","丙",NULL,NULL,"巳","干祿",390
"年","丙",NULL,NULL,"午","羊刃",391
"年","丙",NULL,NULL,"未","",392
"年","丙",NULL,NULL,"申","文昌,桃花",393
"年","丙",NULL,NULL,"酉","乙貴",394
"年","丙",NULL,NULL,"亥","乙貴",396
"年","丁",NULL,NULL,"子","桃花",397
"年","丁",NULL,NULL,"丑","",398
"年","丁",NULL,NULL,"寅","學士",399
"年","丁",NULL,NULL,"卯","",400
"年","丁",NULL,NULL,"辰","",401
"年","丁",NULL,NULL,"巳","血刃",402
"年","丁",NULL,NULL,"午","干祿",403
"年","丁",NULL,NULL,"未","紅艷,羊刃",404
"年","丁",NULL,NULL,"申","桃花",405
"年","丁",NULL,NULL,"酉","乙貴,文昌",406
"年","丁",NULL,NULL,"亥","乙貴",408
"年","戊",NULL,NULL,"子","飛刃",409
"年","戊",NULL,NULL,"丑","乙貴",410
"年","戊",NULL,NULL,"寅","",411
"年","戊",NULL,NULL,"卯","桃花",412
"年","戊",NULL,NULL,"辰","紅艷,血刃",413
"年","戊",NULL,NULL,"巳","干祿",414
"年","戊",NULL,NULL,"午","羊刃,學士",415
"年","戊",NULL,NULL,"未","乙貴",416
"年","戊",NULL,NULL,"申","文昌",417
"年","戊",NULL,NULL,"酉","",418
"年","戊",NULL,NULL,"亥","",420
"年","己",NULL,NULL,"子","乙貴",421
"年","己",NULL,NULL,"丑","飛刃",422
"年","己",NULL,NULL,"寅","",423
"年","己",NULL,NULL,"卯","",424
"年","己",NULL,NULL,"辰","紅艷",425
"年","己",NULL,NULL,"巳","學士,血刃",426
"年","己",NULL,NULL,"午","干祿",427
"年","己",NULL,NULL,"未","羊刃",428
"年","己",NULL,NULL,"申","乙貴",429
"年","己",NULL,NULL,"酉","文昌",430
"年","己",NULL,NULL,"亥","",432
"年","庚",NULL,NULL,"子","",433
"年","庚",NULL,NULL,"丑","乙貴",434
"年","庚",NULL,NULL,"寅","",435
"年","庚",NULL,NULL,"卯","飛刃",436
"年","庚",NULL,NULL,"辰","",437
"年","庚",NULL,NULL,"巳","桃花",438
"年","庚",NULL,NULL,"午","學士",439
"年","庚",NULL,NULL,"未","乙貴,血刃",440
"年","庚",NULL,NULL,"申","干祿",441
"年","庚",NULL,NULL,"酉","羊刃",442
"年","庚",NULL,NULL,"亥","文昌,桃花",444
"年","辛",NULL,NULL,"子","文昌",445
"年","辛",NULL,NULL,"丑","",446
"年","辛",NULL,NULL,"寅","乙貴",447
"年","辛",NULL,NULL,"卯","",448
"年","辛",NULL,NULL,"辰","飛刃",449
"年","辛",NULL,NULL,"巳","學士",450
"年","辛",NULL,NULL,"午","乙貴",451
"年","辛",NULL,NULL,"未","",452
"年","辛",NULL,NULL,"申","血刃",453
"年","辛",NULL,NULL,"酉","干祿,紅艷",454
"年","辛",NULL,NULL,"亥","",456
"年","壬",NULL,NULL,"子","紅艷,羊刃",457
"年","壬",NULL,NULL,"丑","",458
"年","壬",NULL,NULL,"寅","文昌",459
"年","壬",NULL,NULL,"卯","乙貴",460
"年","壬",NULL,NULL,"辰","",461
"年","壬",NULL,NULL,"巳","乙貴",462
"年","壬",NULL,NULL,"午","飛刃,桃花",463
"年","壬",NULL,NULL,"未","",464
"年","壬",NULL,NULL,"申","學士",465
"年","壬",NULL,NULL,"酉","",466
"年","壬",NULL,NULL,"亥","干祿",468
"年","癸",NULL,NULL,"子","干祿",469
"年","癸",NULL,NULL,"丑","羊刃",470
"年","癸",NULL,NULL,"寅","",471
"年","癸",NULL,NULL,"卯","文昌,乙貴",472
"年","癸",NULL,NULL,"辰","",473
"年","癸",NULL,NULL,"巳","乙貴",474
"年","癸",NULL,NULL,"午","",475
"年","癸",NULL,NULL,"未","飛刃",476
"年","癸",NULL,NULL,"申","紅艷,學士",477
"年","癸",NULL,NULL,"酉","",478
"年","癸",NULL,NULL,"亥","血刃",480
"日","甲",NULL,NULL,"戌","",11
"日","乙",NULL,NULL,"戌","飛刃",23
"日","丙",NULL,NULL,"戌","",35
"日","丁",NULL,NULL,"戌","",47
"日","戊",NULL,NULL,"戌","",59
"日","己",NULL,NULL,"戌","桃花",71
"日","庚",NULL,NULL,"戌","紅艷",83
"日","辛",NULL,NULL,"戌","羊刃",95
"日","壬",NULL,NULL,"戌","血刃",107
"日","癸",NULL,NULL,"戌","",119
"時","甲",NULL,NULL,"戌","",131
"時","乙",NULL,NULL,"戌","飛刃",143
"時","丙",NULL,NULL,"戌","",155
"時","丁",NULL,NULL,"戌","",167
"時","戊",NULL,NULL,"戌","羊刃",179
"時","己",NULL,NULL,"戌","桃花",191
"年","丙",NULL,NULL,"戌","",395
"時","庚",NULL,NULL,"戌","紅艷",203
"時","辛",NULL,NULL,"戌","羊刃",215
"時","壬",NULL,NULL,"戌","血刃",227
"時","癸",NULL,NULL,"戌","",239
"月","甲",NULL,NULL,"戌","",251
"月","乙",NULL,NULL,"戌","飛刃",263
"月","丙",NULL,NULL,"戌","",275
"月","丁",NULL,NULL,"戌","",287
"月","戊",NULL,NULL,"戌","羊刃",299
"月","己",NULL,NULL,"戌","桃花",311
"月","庚",NULL,NULL,"戌","紅艷",323
"月","辛",NULL,NULL,"戌","",335
"月","壬",NULL,NULL,"戌","血刃",347
"月","癸",NULL,NULL,"戌","",359
"年","甲",NULL,NULL,"戌","",371
"年","乙",NULL,NULL,"戌","飛刃",383
"年","丁",NULL,NULL,"戌","",407
"年","戊",NULL,NULL,"戌","羊刃",419
"年","己",NULL,NULL,"戌","桃花",431
"年","庚",NULL,NULL,"戌","紅艷",443
"年","辛",NULL,NULL,"戌","羊刃",455
"年","壬",NULL,NULL,"戌","血刃",467
"年","癸",NULL,NULL,"戌","",479
